review_id,product_id,country,platform,category,anonymous_brand,product_name,rating,review_text,theme_seed,data_type
R00001,P0001,Indonesia,Shopee ID,Korean ramen,Korean Brand E,Spicy Ramen - single pack,4,Easy to prepare and good for busy weekdays.,convenience_positive,synthetic_review_corpus
R00002,P0001,Indonesia,Shopee ID,Korean ramen,Korean Brand E,Spicy Ramen - single pack,3,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00003,P0001,Indonesia,Shopee ID,Korean ramen,Korean Brand E,Spicy Ramen - single pack,5,Easy to prepare and good for busy weekdays.,convenience_positive,synthetic_review_corpus
R00004,P0001,Indonesia,Shopee ID,Korean ramen,Korean Brand E,Spicy Ramen - single pack,2,I would buy this more often if the halal certification was clearly shown.,halal_concern,synthetic_review_corpus
R00005,P0001,Indonesia,Shopee ID,Korean ramen,Korean Brand E,Spicy Ramen - single pack,3,"Good flavor, but it feels a bit heavy for frequent consumption.",health_concern,synthetic_review_corpus
R00006,P0001,Indonesia,Shopee ID,Korean ramen,Korean Brand E,Spicy Ramen - single pack,4,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,synthetic_review_corpus
R00007,P0001,Indonesia,Shopee ID,Korean ramen,Korean Brand E,Spicy Ramen - single pack,4,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,synthetic_review_corpus
R00008,P0001,Indonesia,Shopee ID,Korean ramen,Korean Brand E,Spicy Ramen - single pack,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,synthetic_review_corpus
R00009,P0001,Indonesia,Shopee ID,Korean ramen,Korean Brand E,Spicy Ramen - single pack,2,The serving size could be larger for the price.,portion_size,synthetic_review_corpus
R00010,P0002,Indonesia,Shopee ID,Korean ramen,Local Brand G,Mild Ramen - single pack,5,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,synthetic_review_corpus
R00011,P0002,Indonesia,Shopee ID,Korean ramen,Local Brand G,Mild Ramen - single pack,4,I wish there was a milder version because the spice level is too strong.,too_spicy,synthetic_review_corpus
R00012,P0002,Indonesia,Shopee ID,Korean ramen,Local Brand G,Mild Ramen - single pack,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,synthetic_review_corpus
R00013,P0002,Indonesia,Shopee ID,Korean ramen,Local Brand G,Mild Ramen - single pack,3,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00014,P0002,Indonesia,Shopee ID,Korean ramen,Local Brand G,Mild Ramen - single pack,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,synthetic_review_corpus
R00015,P0002,Indonesia,Shopee ID,Korean ramen,Local Brand G,Mild Ramen - single pack,4,Easy to prepare and good for busy weekdays.,convenience_positive,synthetic_review_corpus
R00016,P0002,Indonesia,Shopee ID,Korean ramen,Local Brand G,Mild Ramen - single pack,4,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,synthetic_review_corpus
R00017,P0002,Indonesia,Shopee ID,Korean ramen,Local Brand G,Mild Ramen - single pack,3,The label information could be clearer and easier to read.,packaging_issue,synthetic_review_corpus
R00018,P0002,Indonesia,Shopee ID,Korean ramen,Local Brand G,Mild Ramen - single pack,3,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00019,P0003,Indonesia,Shopee ID,Korean ramen,Local Brand T,Cheese Ramen - cup noodle,4,The serving size could be larger for the price.,portion_size,synthetic_review_corpus
R00020,P0003,Indonesia,Shopee ID,Korean ramen,Local Brand T,Cheese Ramen - cup noodle,3,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00021,P0003,Indonesia,Shopee ID,Korean ramen,Local Brand T,Cheese Ramen - cup noodle,5,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,synthetic_review_corpus
R00022,P0003,Indonesia,Shopee ID,Korean ramen,Local Brand T,Cheese Ramen - cup noodle,2,"It tastes good, but one pack is not enough for a full meal.",portion_size,synthetic_review_corpus
R00023,P0003,Indonesia,Shopee ID,Korean ramen,Local Brand T,Cheese Ramen - cup noodle,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,synthetic_review_corpus
R00024,P0003,Indonesia,Shopee ID,Korean ramen,Local Brand T,Cheese Ramen - cup noodle,4,The packaging could be improved because it was slightly damaged when delivered.,packaging_issue,synthetic_review_corpus
R00025,P0003,Indonesia,Shopee ID,Korean ramen,Local Brand T,Cheese Ramen - cup noodle,5,Easy to prepare and good for busy weekdays.,convenience_positive,synthetic_review_corpus
R00026,P0004,Indonesia,Shopee ID,Korean ramen,Local Brand F,Cheese Ramen - single pack,2,"The product looks good, but I could not find clear halal information.",halal_concern,synthetic_review_corpus
R00027,P0004,Indonesia,Shopee ID,Korean ramen,Local Brand F,Cheese Ramen - single pack,5,Very convenient for a quick meal after work.,convenience_positive,synthetic_review_corpus
R00028,P0004,Indonesia,Shopee ID,Korean ramen,Local Brand F,Cheese Ramen - single pack,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,synthetic_review_corpus
R00029,P0004,Indonesia,Shopee ID,Korean ramen,Local Brand F,Cheese Ramen - single pack,4,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,synthetic_review_corpus
R00030,P0004,Indonesia,Shopee ID,Korean ramen,Local Brand F,Cheese Ramen - single pack,5,Very convenient for a quick meal after work.,convenience_positive,synthetic_review_corpus
R00031,P0004,Indonesia,Shopee ID,Korean ramen,Local Brand F,Cheese Ramen - single pack,3,I would buy this more often if the halal certification was clearly shown.,halal_concern,synthetic_review_corpus
R00032,P0004,Indonesia,Shopee ID,Korean ramen,Local Brand F,Cheese Ramen - single pack,2,"The product is good, but the packaging does not feel very strong.",packaging_issue,synthetic_review_corpus
R00033,P0004,Indonesia,Shopee ID,Korean ramen,Local Brand F,Cheese Ramen - single pack,4,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,synthetic_review_corpus
R00034,P0005,Indonesia,Tokopedia,Korean ramen,Korean Brand D,Spicy Ramen - multi-pack,4,The packaging could be improved because it was slightly damaged when delivered.,packaging_issue,synthetic_review_corpus
R00035,P0005,Indonesia,Tokopedia,Korean ramen,Korean Brand D,Spicy Ramen - multi-pack,3,"The product is good, but the packaging does not feel very strong.",packaging_issue,synthetic_review_corpus
R00036,P0005,Indonesia,Tokopedia,Korean ramen,Korean Brand D,Spicy Ramen - multi-pack,3,The portion is smaller than expected.,portion_size,synthetic_review_corpus
R00037,P0005,Indonesia,Tokopedia,Korean ramen,Korean Brand D,Spicy Ramen - multi-pack,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,synthetic_review_corpus
R00038,P0005,Indonesia,Tokopedia,Korean ramen,Korean Brand D,Spicy Ramen - multi-pack,3,I wish there was a milder version because the spice level is too strong.,too_spicy,synthetic_review_corpus
