rank,country,category,product_idea,target_segment,channel_strategy,product_opportunity_score,priority_level,recommended_action,idea_rationale,business_rationale,consumer_interest_score,trend_momentum_score,macro_potential_score,review_opportunity_score,halal_concern_share,spiciness_issue_share,price_issue_share,health_concern_share
1,Malaysia,Korean ramen,Halal-certified Korean ramen multi-pack,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"E-commerce, convenience stores, and modern retail",70.95,Medium-High,Pilot / Test,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, meaningful review-based opportunity signals, favorable price feasibility.",0.9373350006947336,0.2162424242424242,0.4681598530898638,34.47,0.2273,0.2121,0.1061,0.0455
2,United States,Kimchi,Mild kimchi for mainstream consumers,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",70.64,Medium-High,Pilot / Test,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility.",0.9484507433652908,0.3961212121212121,0.8122827718217399,30.0,0.037,0.2037,0.1667,0.0926
3,United States,Korean ramen,Affordable Korean ramen value bundle,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",68.72,Medium-High,Pilot / Test,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility.",1.0,0.3355151515151515,0.8122827718217399,29.21,0.0877,0.1228,0.1754,0.0351
4,United States,Ready meal,Affordable Korean ready meal lunch pack,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",67.35,Medium-High,Pilot / Test,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility.",0.9048909267750452,0.3132121212121212,0.8122827718217399,30.09,0.1887,0.0566,0.2264,0.0189
5,Australia,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",64.98,Medium-High,Pilot / Test,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by strong consumer search interest, positive recent trend momentum, favorable price feasibility.",0.7379463665416145,0.7090909090909091,0.4660262227209273,30.0,0.0833,0.1667,0.1667,0.0833
6,Australia,Korean ramen,Affordable Korean ramen value bundle,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",64.48,Medium-High,Pilot / Test,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, favorable price feasibility.",0.8935667639294148,0.4363636363636363,0.4660262227209273,30.09,0.1509,0.1321,0.1509,0.0189
7,Malaysia,Gochujang sauce,Halal-certified gochujang sauce,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",62.4,Medium-High,Pilot / Test,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility.",0.5256356815339724,0.288969696969697,0.4681598530898638,34.45,0.1636,0.2182,0.1273,0.0545
8,Indonesia,Kimchi,Halal-certified kimchi with clear ingredient labeling,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",60.96,Medium-High,Pilot / Test,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, meaningful review-based opportunity signals, favorable price feasibility.",0.7209948589690148,0.2203636363636363,0.3650674175102485,32.79,0.1628,0.0465,0.2326,0.0698
9,Singapore,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",59.97,Medium,Monitor,Review signals indicate price sensitivity and value-for-money concerns.,Opportunity supported by favorable price feasibility.,0.5598165902459358,0.4809696969696969,0.5951248185902461,30.38,0.1538,0.0615,0.2308,0.0154
10,United States,Gochujang sauce,Korean sauce starter kit,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",59.64,Medium,Monitor,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility.",0.7483673752952618,0.4991515151515151,0.8122827718217399,26.06,0.0385,0.1346,0.1154,0.0769
11,Thailand,Ready meal,Microwaveable Korean ready meal,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",59.37,Medium,Monitor,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, favorable price feasibility.",0.9147561483951644,0.4213333333333333,0.4660262227209273,27.59,0.1724,0.1207,0.0862,0.0517
12,Singapore,Korean ramen,Mild-spicy Korean ramen for beginner K-Food consumers,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",59.31,Medium,Monitor,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by strong consumer search interest, favorable price feasibility.",0.8944004446297067,0.1374545454545454,0.5951248185902461,28.77,0.0943,0.1698,0.1509,0.0755
13,Thailand,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",58.45,Medium,Monitor,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility.",0.3672363484785326,0.4930909090909091,0.4660262227209273,32.86,0.1224,0.1837,0.2245,0.0816
14,Malaysia,Ready meal,Halal-certified microwaveable Korean ready meal,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",58.06,Medium,Monitor,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, favorable price feasibility.",0.8740447408642488,0.1808484848484848,0.4681598530898638,29.64,0.2143,0.0714,0.1429,0.0179
15,Australia,Kimchi,Low-sodium kimchi line,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",57.5,Medium,Monitor,"Review signals indicate consumer concern around health, sodium, or ingredient quality.","Opportunity supported by strong consumer search interest, favorable price feasibility.",0.928998193691816,0.4606060606060606,0.4660262227209273,25.83,0.0741,0.0556,0.1111,0.1852
16,Singapore,Ready meal,Microwaveable Korean ready meal,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",56.8,Medium,Monitor,Product idea is based on category-level opportunity signals and overall market attractiveness.,"Opportunity supported by strong consumer search interest, favorable price feasibility.",0.8678616090037514,0.2545454545454545,0.5951248185902461,27.35,0.098,0.098,0.1176,0.0196
17,Viet Nam,Kimchi,Low-sodium kimchi line,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",56.72,Medium,Monitor,"Review signals indicate consumer concern around health, sodium, or ingredient quality.","Opportunity supported by strong consumer search interest, positive recent trend momentum, favorable price feasibility.",0.8824510212588577,0.7859393939393939,0.1410942570931766,25.42,0.0417,0.0625,0.1042,0.1875
18,Australia,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",56.47,Medium,Monitor,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by positive recent trend momentum, favorable price feasibility.",0.3801583993330553,0.7355151515151515,0.4660262227209273,30.59,0.2034,0.0678,0.1525,0.0
19,Australia,Ready meal,Affordable Korean ready meal lunch pack,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",56.08,Medium,Monitor,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, favorable price feasibility.",0.869806863971099,0.280969696969697,0.4660262227209273,27.72,0.1739,0.0435,0.1522,0.0217
20,Singapore,Gochujang sauce,Mild-spicy gochujang sauce for localized taste preference,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",55.88,Medium,Monitor,Review signals indicate spiciness localization as an important product adaptation need.,Opportunity supported by favorable price feasibility.,0.4248992635820479,0.4424242424242424,0.5951248185902461,30.0,0.0769,0.2615,0.0462,0.1538
21,Thailand,Kimchi,Low-sodium kimchi line,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",55.84,Medium,Monitor,"Review signals indicate consumer concern around health, sodium, or ingredient quality.",Opportunity supported by favorable price feasibility.,0.6420730860080588,0.509090909090909,0.4660262227209273,27.59,0.0357,0.1429,0.0536,0.25
22,Indonesia,Korean ramen,Halal-certified Korean ramen multi-pack,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"E-commerce, convenience stores, and modern retail",54.11,Medium,Monitor,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, favorable price feasibility.",0.8475753786299846,0.0,0.3650674175102485,29.77,0.1719,0.125,0.1094,0.0469
23,United States,Frozen mandu,Affordable frozen mandu value pack,Young families and convenience-focused consumers,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",53.82,Medium,Monitor,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by attractive macro-market readiness, favorable price feasibility.",0.5266083090176462,0.287030303030303,0.8122827718217399,27.66,0.1452,0.0323,0.1774,0.0
24,Malaysia,Kimchi,Halal-certified kimchi with clear ingredient labeling,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"Modern grocery, specialty Asian stores, and e-commerce",53.44,Medium,Monitor,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,Opportunity supported by favorable price feasibility.,0.6067806030290398,0.3112727272727272,0.4681598530898638,28.9,0.122,0.0976,0.0244,0.1463
