rank,country,category,product_idea,target_segment,channel_strategy,priority_level,recommended_action,scenario,product_opportunity_score,estimated_units,estimated_price_usd,gross_revenue_usd,net_revenue_usd,cogs_pct,logistics_pct,marketing_pct,trade_promo_pct,distributor_margin_pct,contribution_profit_usd,contribution_margin_pct,contribution_per_unit_usd,break_even_units,scenario_profitability_score,scenario_revenue_score,scenario_business_score,profitability_label,scenario_recommendation,idea_rationale,business_rationale
1,Malaysia,Korean ramen,Halal-certified Korean ramen multi-pack,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"E-commerce, convenience stores, and modern retail",Medium-High,Pilot / Test,Aggressive,70.95,143177,2.34,335034.18,299855.59,0.507,0.118,0.191,0.105,0.133,15292.64,0.051,0.11,224592.0,0.0,0.2201255503715323,8.81,Low profitability,Monitor and refine assumptions,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, meaningful review-based opportunity signals, favorable price feasibility."
1,Malaysia,Korean ramen,Halal-certified Korean ramen multi-pack,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"E-commerce, convenience stores, and modern retail",Medium-High,Pilot / Test,Base,70.95,101430,2.47,250532.1,228234.74,0.52,0.113,0.084,0.089,0.132,34463.45,0.151,0.34,53738.0,0.33444816053511706,0.1032282054244229,24.2,Moderate profitability,Pilot launch,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, meaningful review-based opportunity signals, favorable price feasibility."
1,Malaysia,Korean ramen,Halal-certified Korean ramen multi-pack,Muslim Gen Z and young family consumers seeking trusted halal K-Food options,"E-commerce, convenience stores, and modern retail",Medium-High,Pilot / Test,Conservative,70.95,75421,2.31,174222.51,164988.72,0.482,0.079,0.134,0.053,0.116,31182.87,0.189,0.41,31925.0,0.46153846153846156,0.0,27.69,Moderate profitability,Pilot launch,High halal-related concern in review signals and strong relevance for Muslim-majority markets.,"Opportunity supported by strong consumer search interest, meaningful review-based opportunity signals, favorable price feasibility."
2,United States,Kimchi,Mild kimchi for mainstream consumers,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium-High,Pilot / Test,Aggressive,70.64,64527,6.32,407810.64,376001.41,0.51,0.064,0.131,0.078,0.08,80840.3,0.215,1.25,24011.0,0.5484949832775919,0.34440841195193095,46.69,Moderate profitability,Pilot launch,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
2,United States,Kimchi,Mild kimchi for mainstream consumers,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium-High,Pilot / Test,Base,70.64,49967,7.7,384745.9,345501.82,0.455,0.079,0.092,0.102,0.128,84993.45,0.246,1.7,16250.0,0.6521739130434783,0.2946279207545296,50.92,Moderate profitability,Pilot launch,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
2,United States,Kimchi,Mild kimchi for mainstream consumers,Home cooks and K-Food enthusiasts seeking authentic Korean flavors,"Modern grocery, specialty Asian stores, and e-commerce",Medium-High,Pilot / Test,Conservative,70.64,29913,6.58,196827.54,175963.82,0.424,0.066,0.069,0.106,0.091,61587.34,0.35,2.06,6838.0,0.9999999999999999,0.017913220110191697,60.72,High profitability,Pilot launch,Review signals indicate spiciness localization as an important product adaptation need.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
3,United States,Korean ramen,Affordable Korean ramen value bundle,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Medium-High,Pilot / Test,Aggressive,68.72,142472,2.43,346206.96,312971.09,0.52,0.076,0.128,0.096,0.104,53831.03,0.172,0.38,66267.0,0.4046822742474916,0.24153226542244022,33.94,Moderate profitability,Pilot launch,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
3,United States,Korean ramen,Affordable Korean ramen value bundle,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Medium-High,Pilot / Test,Base,68.72,99800,2.55,254490.0,233876.31,0.424,0.072,0.156,0.081,0.094,59404.58,0.254,0.6,31434.0,0.6789297658862876,0.11243620217862593,45.23,High profitability,Pilot launch,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
3,United States,Korean ramen,Affordable Korean ramen value bundle,Urban young professionals and students seeking convenient K-Food meals,"E-commerce, convenience stores, and modern retail",Medium-High,Pilot / Test,Conservative,68.72,81251,2.67,216940.17,194161.45,0.439,0.118,0.115,0.105,0.103,43686.33,0.225,0.54,28890.0,0.5819397993311037,0.04761483118196569,36.82,Moderate profitability,Pilot launch,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
4,United States,Ready meal,Affordable Korean ready meal lunch pack,Urban young professionals and students seeking convenient K-Food meals,"Modern grocery, frozen section, e-commerce grocery, and food delivery partnerships",Medium-High,Pilot / Test,Aggressive,67.35,109506,6.49,710693.94,674448.55,0.513,0.089,0.189,0.051,0.152,38443.57,0.057,0.35,153693.0,0.020066889632107038,0.8315246396015366,34.46,Low profitability,Monitor and refine assumptions,Review signals indicate price sensitivity and value-for-money concerns.,"Opportunity supported by strong consumer search interest, attractive macro-market readiness, favorable price feasibility."
