review_id,product_id,country,category,anonymous_brand,rating,review_text,theme_seed,sentiment_label,topic_id,topic_label,top_words
R00001,P0001,Indonesia,Korean ramen,Korean Brand E,4,Easy to prepare and good for busy weekdays.,convenience_positive,positive,5,General product experience,"tastes good, tastes, good, saves time, saves, time, time tastes, like saves"
R00002,P0001,Indonesia,Korean ramen,Korean Brand E,3,"The product looks good, but I could not find clear halal information.",halal_concern,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00003,P0001,Indonesia,Korean ramen,Korean Brand E,5,Easy to prepare and good for busy weekdays.,convenience_positive,positive,5,General product experience,"tastes good, tastes, good, saves time, saves, time, time tastes, like saves"
R00004,P0001,Indonesia,Korean ramen,Korean Brand E,2,I would buy this more often if the halal certification was clearly shown.,halal_concern,negative,7,Halal trust and certification,"buy, like buy, discount, buy discount, like, certification, halal certification, clearly shown"
R00005,P0001,Indonesia,Korean ramen,Korean Brand E,3,"Good flavor, but it feels a bit heavy for frequent consumption.",health_concern,neutral,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00006,P0001,Indonesia,Korean ramen,Korean Brand E,4,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,positive,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00007,P0001,Indonesia,Korean ramen,Korean Brand E,4,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,positive,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00008,P0001,Indonesia,Korean ramen,Korean Brand E,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,positive,0,Taste authenticity,"reminds, restaurant food, tastes authentic, restaurant, reminds korean, authentic reminds, korean restaurant, flavor tastes"
R00009,P0001,Indonesia,Korean ramen,Korean Brand E,2,The serving size could be larger for the price.,portion_size,negative,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00010,P0002,Indonesia,Korean ramen,Local Brand G,5,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00011,P0002,Indonesia,Korean ramen,Local Brand G,4,I wish there was a milder version because the spice level is too strong.,too_spicy,positive,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00012,P0002,Indonesia,Korean ramen,Local Brand G,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00013,P0002,Indonesia,Korean ramen,Local Brand G,3,"The product looks good, but I could not find clear halal information.",halal_concern,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00014,P0002,Indonesia,Korean ramen,Local Brand G,5,The flavor tastes authentic and reminds me of Korean restaurant food.,taste_authenticity_positive,positive,0,Taste authenticity,"reminds, restaurant food, tastes authentic, restaurant, reminds korean, authentic reminds, korean restaurant, flavor tastes"
R00015,P0002,Indonesia,Korean ramen,Local Brand G,4,Easy to prepare and good for busy weekdays.,convenience_positive,positive,5,General product experience,"tastes good, tastes, good, saves time, saves, time, time tastes, like saves"
R00016,P0002,Indonesia,Korean ramen,Local Brand G,4,"The product tastes nice, but the heat level may be difficult for beginners.",too_spicy,positive,6,Spiciness and taste localization,"level, wish, wish milder, spice, spice level, milder version, version spice, milder"
R00017,P0002,Indonesia,Korean ramen,Local Brand G,3,The label information could be clearer and easier to read.,packaging_issue,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00018,P0002,Indonesia,Korean ramen,Local Brand G,3,"The product looks good, but I could not find clear halal information.",halal_concern,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00019,P0003,Indonesia,Korean ramen,Local Brand T,4,The serving size could be larger for the price.,portion_size,positive,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00020,P0003,Indonesia,Korean ramen,Local Brand T,3,"The product looks good, but I could not find clear halal information.",halal_concern,neutral,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00021,P0003,Indonesia,Korean ramen,Local Brand T,5,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00022,P0003,Indonesia,Korean ramen,Local Brand T,2,"It tastes good, but one pack is not enough for a full meal.",portion_size,negative,5,General product experience,"tastes good, tastes, good, saves time, saves, time, time tastes, like saves"
R00023,P0003,Indonesia,Korean ramen,Local Brand T,5,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,positive,2,Taste authenticity,"real korean, style food, style, rich seasoning, rich, seasoning feels, real, seasoning"
R00024,P0003,Indonesia,Korean ramen,Local Brand T,4,The packaging could be improved because it was slightly damaged when delivered.,packaging_issue,positive,3,Price sensitivity,"size, price, product good, portion, quite high, quite, price feels, high"
R00025,P0003,Indonesia,Korean ramen,Local Brand T,5,Easy to prepare and good for busy weekdays.,convenience_positive,positive,5,General product experience,"tastes good, tastes, good, saves time, saves, time, time tastes, like saves"
R00026,P0004,Indonesia,Korean ramen,Local Brand F,2,"The product looks good, but I could not find clear halal information.",halal_concern,negative,4,Halal trust and certification,"clear halal, clear, halal, looks, halal information, looks good, good clear, product looks"
R00027,P0004,Indonesia,Korean ramen,Local Brand F,5,Very convenient for a quick meal after work.,convenience_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00028,P0004,Indonesia,Korean ramen,Local Brand F,4,The taste is very satisfying and works well for a quick Korean meal at home.,taste_authenticity_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
R00029,P0004,Indonesia,Korean ramen,Local Brand F,4,I like the rich seasoning and it feels close to real Korean-style food.,taste_authenticity_positive,positive,2,Taste authenticity,"real korean, style food, style, rich seasoning, rich, seasoning feels, real, seasoning"
R00030,P0004,Indonesia,Korean ramen,Local Brand F,5,Very convenient for a quick meal after work.,convenience_positive,positive,1,Convenience and quick meal,"quick, works, works quick, satisfying, taste satisfying, satisfying works, quick korean, korean meal"
